kampong,price,type,tenure,status,storeys,plot_area,floor_area,beds,baths,listing
Kg. Sengkarai,268000,Detached,Freehold,Under Construction,NA,0.1,2500,4,3,"🏠 Exciting Opportunity in Kg. Sengkarai! 🌳

We have an incredible investment opportunity for you! 🤑

This stunning detached house is currently under construction and will soon be ready to be your dream home. With a price tag of BND 268,000, it's a steal! 🤩 Freehold land.

Enjoy the comfort of four spacious bedrooms and three bathrooms [2500 sqft of floor space], perfect for family living or as an ideal retreat for friends and family gatherings.

The plot area of 0.1 acres offers ample space for outdoor activities, such as gardening or barbecues.

Don't miss out on this amazing deal! Contact us today to schedule a viewing. 📲

Call/Text: [Your Phone Number]
Email: [Your Email]"
Kg. Subok Kota Batu,2300000,NA,Freehold,New,NA,0.149,2000,3,2,"🌴🏠 Stunning Kg Subok Kota Batu New Home for Sale! 🏠🌴

Are you looking for a beautiful and affordable home in Brunei? Look no further! We have an incredible opportunity to purchase this spacious 3 bedroom, 2 bathroom house in Kg Subok Kota Batu.

For just BND 2,300,000, this stunning property offers a total floor area of 2000 sqft and a plot area of 0.149 acres. Enjoy the comfort and peace of mind that comes with owning a freehold property in one of Brunei's most sought-after kampongs.

This fantastic home is perfect for anyone looking to own a piece of paradise without breaking the bank. Don't miss out on this amazing deal! Contact us today to schedule a viewing and make your dreams come true! 📲 12345678"
Kg. Mentiri,358000,Detached,Freehold,Under Construction,NA,0.133,2850,4,5,"🌴🏠 Stunning Detached Home in Kg. Mentiri! 🤩

Are you looking for a spacious and stylish home in the heart of Brunei? Look no further! This beautiful detached house is now available for sale, offering 4 generous bedrooms and 5 modern bathrooms.

With a total floor area of 2850 sqft, this property boasts plenty of space to relax, entertain, or simply enjoy quality time with family. The plot area of 0.133 acres provides ample room for outdoor activities or a small garden.

Currently under construction, this freehold home is the perfect opportunity to own a piece of Bruneian paradise. Don't miss out on this amazing deal! Contact us today to schedule a viewing and make this house your dream home!

Price: BND 358,000

Location: Kg. Mentiri"
Kg. Tanah Jambu,370000,Detached,Freehold,Resale,NA,0.284,2500,5,5,"🏠 🌴 Dream Home in Kg. Tanah Jambu!

Are you ready to own a piece of paradise? Look no further! 😊 We have an incredible opportunity for you - a stunning 5-bedroom, 5-bathroom detached home in the heart of Kg. Tanah Jambu.

This FREEHOLD property boasts a spacious floor area of 2500 sqft, perfect for relaxing and entertaining with family and friends. With its ample plot area, this house is nestled on 0.284 acres of land, providing plenty of room to grow and explore.

As a resale property, this home offers the best of both worlds - a chance to own a piece of history while benefiting from a new beginning. Take advantage of the FREEHOLD tenure and enjoy the peace of mind that comes with it.

Whether you're looking for a cozy retreat or an ideal base for entertaining, this house has it all. So why wait? Contact us today to schedule a viewing and make your dream home a reality! 📲"
Kg. Lumut,368000,Detached,Freehold,New,2,0.163,2650,4,4,"🌴 🏠 **LUXURY LIVING IN KG. LUMUT!** 🏠 🌴

Escape to a serene paradise in this stunning 4-bedroom, 4-bathroom detached freehold property in Kg. Lumut!

Enjoy an unbeatable price of BND 368,000 for your dream home.

Plot Area: 0.163 acres
Floor Area: 2650 square feet

Experience the perfect blend of space and serenity in this beautiful property. Perfect for families or individuals seeking a peaceful retreat from the hustle and bustle of city life.

Don't miss out on this incredible opportunity to own a piece of Brunei's hidden gem! Contact us today to schedule a viewing. 📲 0123456789"
Kg. Panchor Lumapas,220000,Detached,Freehold,Proposed,2,0.118,1805,4,3,"🏠💕 **Spacious Detached Home for Sale!** 💕🏠

Are you looking for a dream home in Brunei? 🤔 Look no further! This beautiful detached property in Kg. Panchor Lumapas is waiting for its next owner.

This 4-bedroom, 3-bathroom freehold home features a spacious floor area of 1805 sqft and a plot area of 0.118 acres. Perfect for families or individuals looking for plenty of space to spread out.

Currently under proposed tenure, this property offers endless possibilities for the future. Don't miss out on this amazing opportunity!

**Price:** BND 220,000

Contact me today to schedule a viewing and make this house your home! 📲👉 [Your Contact Info]"
Kg. Kulapis,160000,Semi-Detached,Freehold,Proposed,2,0.08,1161,3,2,"🌴 Stunning Semi-Detached Haven for Sale in Kg. Kulapis! 🏠

Looking for a beautiful spot to call home? Look no further than this stunning semi-detached house in Kg. Kulapis! With a price tag of BND 160,000, this property is an absolute steal.

This 2-story haven boasts a spacious floor area of 1,161 sqft and comes with 3 comfortable bedrooms and 2 modern bathrooms. The plot area of just 0.08 acres offers ample space for outdoor entertaining or simply enjoying the fresh air.

As a Freehold property, you can rest assured that this investment will appreciate over time. Plus, with its Proposed status, you can make your mark on this beautiful home without any worrying about existing owners!

Don't miss out on this fantastic opportunity to own a piece of paradise in Kg. Kulapis! Contact us today to schedule a viewing. 📲"
Kg. Sungai Tilong,460000,Detached,NA,Under Construction,NA,0.124,3713,5,5,"🌴 Luxurious Home for Sale in Kg. Sungai Tilong!

Exciting opportunity to own a stunning detached property in the heart of Kg. Sungai Tilong! 🤩

This 5-bedroom, 5-bathroom residence boasts an impressive floor area of 3713 square feet and is situated on a beautiful plot area of 0.124 acres.

Perfect for those looking for a comfortable and spacious living space, this property offers ample room for relaxation and entertainment. The perfect blend of modern convenience and natural charm! 🌿

Don't miss out on this incredible deal! Contact us today to schedule a viewing and make Kg. Sungai Tilong your dream home. 📞"
Kg. Menglait,389000,Detached,NA,NA,NA,0.075,2573,5,3,"🌴 🏠 Stunning Detached Home for Sale in Kg. Menglait!

Are you looking for a peaceful retreat from the city hustle and bustle? Look no further! This charming detached home in Kg. Menglait is waiting to be yours.

With 5 spacious bedrooms and 3 modern bathrooms, this property offers ample space for family or friends to live comfortably. The floor area of 2573 square feet provides a perfect blend of functionality and relaxation.

The plot area of 0.075 acres offers a serene and private outdoor space, perfect for gardening or simply enjoying the fresh air.

Located in the heart of Kg. Menglait, this property is just waiting to be turned into your dream home.

Price: BND 389,000

Don't miss out on this amazing opportunity! Contact us today to schedule a viewing. 📲🏠"
Kg. Kasat,178000,Semi-Detached,NA,Under Construction,NA,0.098,1500,4,2,"🏠🌴 Exciting Opportunity in Kg. Kasat! 🌴🏠

Are you looking for a great deal on a beautiful plot of land? Look no further! We have an amazing opportunity available in Kg. Kasat, perfect for those who want to build their dream home.

This Semi-Detached property is currently under construction and offers a spacious floor area of 1500 sqft. With a total plot area of 0.098 acres, you'll have plenty of room to grow and expand your lifestyle.

Features:

✨ 4 bedrooms for the whole family
✨ 2 bathrooms for comfort and convenience
✨ Plenty of space for outdoor activities or entertainment

Price: BND 178,000

Don't miss out on this amazing chance to own a piece of Kg. Kasat! Contact us today to schedule a viewing! 📲"
Kg. Mata-Mata,250000,Detached,NA,NA,NA,0.061,2047,4,3,"🌳🏠 FOR SALE! 🏠🌳

Experience the beauty of Kg. Mata-Mata with this stunning detached property!

Price: BND 250,000

Enjoy 4 spacious bedrooms and 3 bathrooms in this comfortable home.

The plot area is approximately 0.061 acres, providing ample space for outdoor living.

The floor area measures 2047 square meters, perfect for entertaining or relaxing.

This property boasts a serene atmosphere and is available for immediate purchase.

Don't miss out on this incredible opportunity to own a piece of paradise in Kg. Mata-Mata!

Contact us today to schedule a viewing! 📲👉"
Kg. Tanjong Bunut,298000,Terrace,NA,Under Construction,NA,0.056,2610,4,4,"🏠🌴 Exciting New Development in Kg. Tanjong Bunut! 🌴🏠

Are you looking for a beautiful and affordable home? Look no further! We have an amazing opportunity to own a stunning 4-bedroom, 4-bathroom terrace house located in the heart of Kg. Tanjong Bunut.

This beautiful property features a spacious floor area of 2610 sqft, nestled on a plot area of 0.056 acres. With a price tag of BND298,000, this is an unbeatable deal for first-time buyers or investors looking to get into the Brunei market.

The property is currently under construction and has not yet been completed. However, we are expecting it to be finished soon, so don't miss out on this incredible chance to own a piece of paradise.

Don't wait any longer! Contact us today to schedule a viewing and make this amazing opportunity yours! 📲 555-1234"
Kg. Tanah Jambu,199000,Terrace,NA,Under Construction,NA,0.033,1905,4,3,"🌴🏠 Exciting Opportunity in Kg. Tanah Jambu!

Are you ready to own a piece of Brunei? 🤩 We have an amazing opportunity for you! This stunning 4-bedroom, 3-bathroom terrace home is available for sale in Kg. Tanah Jambu.

With a spacious floor area of 1905 sqft, this property offers ample room for living and entertaining. The current asking price is BND 199,000, making it an affordable option for first-time buyers or investors looking to expand their portfolio.

Features:

- 4 bedrooms
- 3 bathrooms
- Floor area: 1905 sqft
- Plot area: 0.033 acres
- Currently under construction

Don't miss out on this fantastic chance to own a beautiful home in Brunei! Contact us today to schedule a viewing and make your dream come true! 💕"
Kg. Tagap,438000,Detached,NA,Under Construction,NA,0.139,3451,4,4,"🌴🏠 Exciting Opportunity in Kg. Tagap!

Are you looking for a dream home? Look no further! We have an incredible opportunity to purchase a beautiful detached house in Kg. Tagap, ready for its new owner.

This stunning property boasts a spacious floor area of 3451 sqft and comes with 4 bedrooms and 4 bathrooms. The current price is BND 438,000.

Please note that the tenure status is currently under construction, so you'll have plenty of time to make your mark on this beautiful home.

Don't miss out on this amazing chance to own a piece of paradise! Contact us for more information.

💰 Price: BND 438,000
📍 Location: Kg. Tagap
📲 Call/WhatsApp us for viewing and more details!"
